# stan_version_major = 2
# stan_version_minor = 23
# stan_version_patch = 0
# model = linear_regression_907_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /Users/robin/stan-models/linear_regression-907/linear_regression-907.json
# init = 2 (Default)
# random
#   seed = 1728159211 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
# Adaptation terminated
# Step size = 0.431736
# Diagonal elements of inverse mass matrix:
# 30.1401, 0.0357554, 0.00900752
-180.172,0.828489,0.431736,2,3,0,180.977,1.75691,-6.62088,20.5817
-180.629,0.985768,0.431736,3,7,0,181.729,6.98394,-6.78671,19.0813
-180.161,0.966062,0.431736,2,3,0,180.968,10.6496,-6.70787,20.3969
-179.306,0.986932,0.431736,2,7,0,180.878,5.74479,-6.68868,22.4876
-179.606,0.975996,0.431736,2,3,0,179.639,7.56449,-6.64698,23.2754
-179.326,0.977108,0.431736,2,7,0,179.879,8.17896,-6.69682,22.5209
-180.245,0.623965,0.431736,3,11,0,183.725,-1.03804,-6.4269,22.2324
-182.31,0.690145,0.431736,2,3,0,182.993,-5.16908,-6.47126,21.4001
-181.667,1,0.431736,3,7,0,183.14,-1.26408,-6.61225,25.0152
-181.934,0.941039,0.431736,1,1,0,182.157,-1.48662,-6.62646,24.985
-185.433,0.824241,0.431736,2,3,0,185.621,-4.80884,-6.68338,25.5402
-181.276,0.970741,0.431736,2,7,0,185.215,6.68156,-6.47891,23.6325
-179.476,0.989052,0.431736,3,11,0,182.03,6.65465,-6.64388,23.1799
-181.536,0.823313,0.431736,3,7,0,183.343,19.4115,-6.9785,21.9064
-180.466,1,0.431736,3,7,0,182.434,10.4132,-6.94457,20.7032
-180.127,1,0.431736,1,1,0,180.48,10.6359,-6.92688,20.8467
-179.927,1,0.431736,3,7,0,180.393,12.0673,-6.77153,23.3276
-181.499,0.947851,0.431736,2,7,0,182.822,14.8208,-7.12688,23.2887
-183.707,0.839212,0.431736,4,15,0,184.747,18.859,-6.82613,21.0926
-182.531,1,0.431736,2,7,0,185.211,19.1371,-6.87243,22.6468
-180.736,0.986519,0.431736,3,11,0,182.873,6.40607,-6.81748,25.2078
-179.688,0.975558,0.431736,2,7,0,182.393,12.8364,-6.83665,21.5577
-179.691,0.996965,0.431736,4,15,0,180.075,6.72857,-6.62224,23.5793
-181.97,0.776636,0.431736,4,15,0,183.758,15.3454,-7.15381,21.5989
-182.648,1,0.431736,3,7,0,185.11,17.8622,-7.23383,24.9875
-181.866,0.859542,0.431736,2,3,0,183.656,20.1167,-7.08865,25.4288
-179.679,0.99871,0.431736,2,7,0,182.445,11.1014,-6.9068,22.0367
-180.958,0.985459,0.431736,4,15,0,181.356,-3.74128,-6.34351,22.3393
-180.487,0.852142,0.431736,3,7,0,182.09,0.992267,-6.64217,23.4556
-181.492,0.982461,0.431736,3,15,0,182.024,8.49489,-6.88226,18.8796
-182.15,1,0.431736,3,7,0,182.832,14.1249,-6.85195,18.2534
-182.303,0.958842,0.431736,2,3,0,182.963,12.566,-6.97691,18.2472
-180.529,0.997112,0.431736,3,7,0,183.155,16.6524,-7.02102,21.1717
-181.979,0.906257,0.431736,3,7,0,182.542,19.3263,-7.04339,26.0915
-182.139,0.995383,0.431736,4,15,0,182.732,21.3116,-7.14895,25.2567
-179.926,0.960225,0.431736,3,7,0,182.57,13.5269,-6.88019,23.5993
-181.668,0.965952,0.431736,3,15,0,182.804,2.21418,-6.57564,27.3968
-182.779,0.939438,0.431736,3,7,0,183.368,1.60496,-6.68628,28.1489
-180.023,0.988521,0.431736,2,7,0,183.578,6.4459,-6.57946,23.8856
-180.173,1,0.431736,3,7,0,180.726,8.25475,-6.83871,24.5209
-179.798,0.66678,0.431736,2,7,0,183.28,7.92107,-6.62363,21.1923
-179.753,0.958354,0.431736,2,7,0,181.723,10.0953,-6.79581,24.1598
-179.647,0.955239,0.431736,4,15,0,180.256,11.5591,-6.85228,23.4499
-180.749,0.866404,0.431736,2,3,0,181.053,10.767,-6.99316,22.9729
-180.085,0.959105,0.431736,2,7,0,181.497,11.3457,-6.91208,24.1777
-180.096,0.91593,0.431736,3,7,0,181.43,10.682,-6.77108,19.6167
-179.642,0.960787,0.431736,3,7,0,181.078,2.97181,-6.61572,23.0789
-183.347,0.671109,0.431736,3,7,0,183.916,12.3339,-7.16652,23.5932
-183.971,0.919814,0.431736,2,3,0,186.289,21.5242,-7.0022,19.8043
-182.572,0.973773,0.431736,4,15,0,186.705,4.96375,-6.86688,26.7553
-182.744,0.981592,0.431736,3,15,0,183.897,18.0714,-6.84958,26.1106
-181.287,0.979099,0.431736,3,7,0,183.441,14.2467,-6.77746,20.2303
-180.37,0.949923,0.431736,2,3,0,182.023,9.88425,-6.89609,19.9264
-180.371,0.993176,0.431736,3,15,0,181.531,6.53605,-6.6538,18.9952
-179.835,0.984323,0.431736,3,7,0,180.923,1.92493,-6.58854,20.895
-180.479,0.98573,0.431736,3,7,0,180.756,4.81844,-6.69277,25.5491
-180.552,0.99927,0.431736,2,3,0,180.768,5.15061,-6.6448,25.8966
-180.149,0.998794,0.431736,3,15,0,180.72,3.43919,-6.58841,24.8644
-179.528,0.984606,0.431736,4,15,0,181.539,7.4003,-6.78672,21.0262
-179.846,0.946538,0.431736,2,7,0,180.576,7.59141,-6.60666,22.9241
-179.56,0.954866,0.431736,4,15,0,187.116,3.42962,-6.60576,23.107
-179.764,0.991706,0.431736,3,7,0,180.21,4.84463,-6.60597,20.0536
-181.039,0.74808,0.431736,3,11,0,182.651,16.8262,-7.11272,23.5507
-179.481,0.995702,0.431736,2,7,0,182.72,7.30572,-6.63913,22.5793
-180.872,0.740775,0.431736,2,7,0,182.662,13.2406,-6.72737,23.582
-180.855,1,0.431736,2,3,0,181.161,7.99185,-6.91213,24.1241
-181.625,0.985429,0.431736,3,7,0,182.286,13.643,-7.04921,19.72
-181.117,1,0.431736,2,3,0,181.579,14.4433,-7.03312,19.8897
-181,0.893979,0.431736,2,3,0,182.129,16.7788,-7.05975,20.4681
